pid,bc,dir,yds,succ,kne
830636,RP-0550,MD,0,0,0
830637,RP-0550,RT,5,0,0
830640,JM-5275,MD,6,1,0
830641,JM-5275,LE,-1,0,0
830648,CC-0750,MD,3,0,0
830658,RW-3850,NL,-1,0,1
830662,JM-5275,MD,1,0,0
830664,CC-0750,LE,-6,0,0
830665,CC-0750,MD,-1,0,0
830668,GB-0350,RE,-3,0,0
830669,GB-0350,RT,5,0,0
830671,GB-0350,MD,-1,0,0
830672,TB-2075,RE,3,0,0
830673,GB-0350,RT,4,0,0
830679,GB-0350,LT,11,1,0
830687,GB-0350,RG,0,0,0
830688,RP-0550,LT,5,1,0
830689,RP-0550,LT,0,0,0
830702,GB-0350,LT,5,1,0
830714,CC-0750,MD,1,0,0
830724,RW-3850,RE,5,1,0
830725,CC-0750,MD,4,1,0
830726,CC-0750,LE,21,1,0
830727,CC-0750,RG,0,0,0
830728,CC-0750,MD,-1,0,0
830730,RW-3850,LE,5,0,0
830734,RW-3850,NL,-1,0,1
830736,AE-0550,LE,2,0,0
830742,MM-0050,LE,-3,0,0
830743,MM-0050,LE,4,0,0
830747,AE-0550,LE,2,1,0
830749,JJ-0575,RT,23,1,0
830750,AE-0550,RE,3,0,0
830751,AE-0550,MD,13,1,0
830752,JJ-0575,RG,0,0,0
830761,MM-0050,MD,1,0,0
830764,MM-0050,MD,1,0,0
830765,JB-5725,MD,3,1,0
830766,JB-5725,RE,6,1,0
830767,MM-0050,LE,6,1,0
830770,MM-0050,MD,3,1,0
830772,MM-0050,MD,7,1,0
830779,AE-0550,LT,5,1,0
830785,JB-5725,MD,0,0,0
830786,MM-0050,MD,2,0,0
830790,AE-0550,MD,1,0,0
830793,JJ-0575,LE,9,1,0
830794,DW-1750,MD,2,1,0
830806,MM-0050,LE,25,1,0
830807,MM-0050,RG,5,1,0
830808,NH-1237,RT,6,1,0
830809,MM-0050,MD,10,1,0
830810,MM-0050,MD,3,0,0
830811,NH-1237,RE,0,0,0
830815,AE-0550,RE,0,0,0
830823,MM-0050,LT,63,1,0
830826,JJ-0575,RG,-2,0,0
830827,JJ-0575,RT,24,1,0
830833,MM-0050,RG,5,1,0
830839,MM-0050,LG,9,1,0
830840,MM-0050,MD,4,1,0
830841,MM-0050,MD,2,0,0
830846,AE-0550,LE,4,1,0
830852,AE-0550,LE,-1,0,0
830854,MM-0050,MD,7,1,0
830855,MM-0050,LE,7,1,0
830856,NH-1237,MD,6,1,0
830857,MM-0050,RG,4,1,0
830858,MM-0050,LE,-5,0,0
830862,PC-0050,LE,7,1,0
830863,NH-1237,MD,1,0,0
830864,MM-0050,MD,4,1,0
830865,MM-0050,LE,4,1,0
830866,MM-0050,MD,4,1,0
830867,MM-0050,MD,2,1,0
830878,PR-0300,RE,6,1,0
830882,AE-0550,LT,3,0,0
