uid,pid,ptm,pen,desc,cat,pey,act
75710,833121,MIN,DC-3550,Offensive Pass Interference,2,10,A
75711,833131,MIN,SD-0537,Offensive Pass Interference,2,10,A
75712,833141,GB,,Offensive Too Many Men on Field,8,5,A
75713,833145,MIN,AT-0350,Offensive Pass Interference,2,10,A
75714,833148,MIN,SD-0537,Unsportsmanlike Conduct,6,15,A
75715,833164,MIN,GB-0750,Offensive Holding,2,10,A
75716,833167,GB,TD-0737,Unsportsmanlike Conduct,6,0,D
75717,833172,MIN,KB-1675,Offensive Holding,2,10,A
75718,833175,MIN,GB-0750,Offensive Holding,2,10,A
75719,833181,GB,JG-2900,Offensive Pass Interference,2,10,A
75720,833183,GB,GA-0250,Offensive Holding,2,0,D
75721,833201,MIN,KB-1675,Unnecessary Roughness,6,0,O
75722,833201,GB,WR-0350,Offensive Holding,2,0,O
75723,833209,GB,,Delay of Game,3,5,A
75724,833225,MIA,XH-0100,Defensive Holding,5,3,A
75725,833235,MIA,JD-0850,Offensive Holding,2,10,A
75726,833250,MIA,XH-0100,Defensive Holding,5,0,O
75727,833250,NE,TK-0050,Offensive Holding,2,0,O
75728,833284,NE,MN-0400,Offensive Holding,2,0,D
75729,833301,MIA,DK-0600,Offensive Holding,2,0,D
